Company ID,Name,Website,Round,Amount (USD M),Year,Month,Investors,News link,Standardised round label
1717956,Recruitment Smart Technologies,http://recruitmentsmart.com,SERIES A,2.64,2022,9,Blackfinch Ventures,https://blackfinch.investments/assets/Blackfinch_Spring_Venture_Capital_Trust_Prospectus_2023_dde168136c.pdf,
4679574,Natix Network,http://natix.network,SEED,0,2022,9,Blockarm Capital,,
5335566,RunLve,https://service.runlve.ai/,SERIES A,50,2022,9,,,
4552836,roclub,https://www.roclub.com/,SEED,2.2,2022,9,,https://www.roclub.com/press/roclub-raises-2m-euro-in-pre-seed-round,
1497895,FINDS World,https://finds.world,SEED,1.7,2022,9,Mustard Seed + Partners;Ada Ventures,,
4386890,InvestSky,https://www.investsky.com/,SEED,0,2022,9,Joa Capital,,
3033765,STYLIQUE,http://stylique.de,SEED,0.682,2022,9,Lakeside Beteiligungs,,
4813656,Steel City Interactive,http://steelcityinteractive.co.uk,SEED,0,2022,9,,https://novator.co.uk/portfolio/steel-city-interactive/,
5234810,Fundlr,https://fundlr.online,SEED,1,2022,9,,,
5049152,Laxey,https://www.laxey.is/,EARLY VC,46.2,2022,9,,https://www.arctictoday.com/%f0%9f%87%ae%f0%9f%87%b8-laxey-formerly-icelandic-land-farmed-salmon-completes-an-eur-42-million-capital-increase/?wallit_nosession=1,
4237340,Chift,http://chift.eu,SEED,0.44,2022,9,Seeder Fund,,
